Dpto Label,Latitud,Longitud,Año_max,Año_min,BON_media,ESTAB_media,GH_media,PH_media,PROT_media,RTO_media,P.BLANCA_media,W_media,Grupo
Dpto. Gral. Obligado                    ,-28.750,-59.750,2018,2018,102,14.9,24.1,82.7,11.3,2400.0, 9.5,243.0, 8
Dpto. 9 de Julio                        ,-28.833,-61.333,2018,2018,101,15.1,26.5,81.2,11.0,3400.0, 4.2,250.0, 7
Dpto. Vera                              ,-29.000,-60.500,2018,2018,103,14.0,29.0,82.0,11.6,2400.0, 3.5,280.0, 8
Dpto. Castellanos                       ,-31.167,-61.667,2018,2018,103,12.9,28.6,79.9,11.5,2900.0, 6.9,268.7, 8
Dpto. La Capital                        ,-31.500,-60.667,2018,2018,100,21.8,24.3,84.0,10.1,3000.0, 9.5,244.0, 6
Dpto. Las Colonias                      ,-31.500,-61.133,2018,2018,100,12.4,24.0,83.1,10.2,3200.0,16.1,275.8, 6
Dpto. San Cristóbal                     ,-30.333,-61.333,2018,2018,105,29.9,30.6,82.2,12.6,2800.0, 0.0,386.0, 9
Dpto. San Justo                         ,-30.667,-60.500,2018,2018,101,11.2,26.9,79.6,11.4,3100.0, 3.3,262.6, 7
Dpto. San Martín                        ,-32.000,-61.833,2018,2018,101, 3.1,27.0,78.0,11.2,2200.0, 1.8,272.3, 7
Dpto. San Jerónimo                      ,-32.167,-61.083,2018,2018,100, 3.0,26.1,77.9,10.9,2800.0, 2.4,241.8, 6
Dpto. Iriondo                           ,-32.633,-61.333,2018,2018,101,11.4,27.6,76.3,11.7,2700.0, 1.5,272.3, 7
Dpto. Belgrano                          ,-32.500,-61.750,2018,2018,102,12.2,30.2,76.3,12.4,2600.0, 0.6,296.0, 8
Dpto. Caseros                           ,-33.250,-61.667,2018,2018,102,21.6,29.2,76.1,12.2,2800.0, 1.1,308.7, 7
Dpto. San Lorenzo                       ,-33.000,-61.000,2018,2018,101, 8.1,27.8,77.0,11.7,2800.0, 0.8,308.0, 7
Dpto. Rosario                           ,-33.167,-60.750,2018,2018,103,32.8,28.3,77.2,12.3,2800.0, 1.1,305.0, 8
Dpto. Constitución                      ,-33.500,-60.917,2018,2018,101,22.8,26.9,78.8,11.5,3000.0, 2.0,287.0, 7
Dpto. Gral. López                       ,-33.833,-61.833,2018,2018,103,18.9,28.6,79.9,11.7,4200.0, 2.3,305.1, 8
Dpto. Marcos Juárez                     ,-33.000,-62.250,2018,2018,101,10.7,29.0,76.6,12.1,2900.0, 1.1,296.6, 7
Dpto. Unión                             ,-32.833,-62.750,2018,2018,102,14.5,27.9,76.7,12.3,2800.0, 1.2,323.5, 7
Part. Ramallo                           ,-33.500,-60.083,2018,2018,98, 2.0,22.8,79.2, 9.9,4500.0, 1.4,282.0, 6
Part. Colón                             ,-33.833,-61.000,2018,2018,101, 4.8,24.9,80.4,10.8,4800.0, 1.2,291.3, 7
Part. Pergamino                         ,-33.750,-60.583,2018,2018,100,12.5,24.8,79.3,10.6,5000.0, 5.9,254.0, 6
Part. Chivilcoy                         ,-34.917,-59.917,2018,2018,101,14.7,26.2,78.2,11.3,4000.0, 1.2,237.0, 7
Part. Bragado                           ,-35.000,-60.667,2018,2018,100,14.9,25.3,77.4,11.2,4000.0, 1.9,255.0, 7
Part. Alberti                           ,-35.000,-60.333,2018,2018,102,15.8,27.8,79.4,11.4,4000.0, 1.5,280.0, 8
Part. Rojas                             ,-34.250,-60.750,2018,2018,103,14.1,28.5,82.1,11.8,5000.0, 0.2,223.0, 8
Part. Gral. Pinto                       ,-34.750,-62.250,2018,2018,99,13.0,28.2,78.3,10.4,4000.0, 2.0,263.0, 6
Part. Florentino Ameghino               ,-34.839,-62.467,2018,2018,100,11.2,28.9,76.8,11.0,4200.0, 0.6,202.0, 7
Part. Gral. Villegas                    ,-34.750,-63.000,2018,2018,100,10.7,25.6,76.3,11.0,4100.0, 0.0,200.0, 7
Part. Leandro N. Alem                   ,-34.500,-61.500,2018,2018,103, 9.7,28.3,80.4,11.6,3900.0, 2.3,204.5, 8
Part. Lincoln                           ,-35.000,-61.750,2018,2018,99,16.9,24.8,77.8,10.5,3800.0, 5.3,242.0, 6
Part. 25 de Mayo                        ,-35.500,-60.250,2018,2018,102,11.5,26.4,78.6,11.8,3700.0, 0.7,229.0, 7
Part. Bolívar                           ,-36.333,-61.083,2018,2018,97,18.1,20.9,74.5,10.0,4000.0, 5.5,222.0, 5
Dpto. Paraná                            ,-31.667,-60.000,2018,2018,99,13.4,21.6,80.1,10.0,3700.0, 3.7,240.3, 6
Dpto. Federal                           ,-30.956,-58.780,2018,2018,101,12.7,25.3,80.8,10.5,3400.0, 3.0,219.0, 7
Dpto. Villaguay                         ,-31.583,-59.000,2018,2018,100,14.7,22.8,79.9,10.1,3400.0, 5.9,227.0, 6
Dpto. Diamante                          ,-32.167,-60.417,2018,2018,99,10.8,20.6,80.7, 9.9,3700.0, 8.4,217.5, 6
Dpto. Concordia                         ,-31.083,-58.667,2018,2018,97, 2.1,20.4,79.3, 9.5,3500.0,12.0,241.0, 5
Dpto. La Paz                            ,-30.833,-59.417,2018,2018,100,15.0,24.2,81.0,10.0,3600.0, 2.0,251.0, 6
Dpto. Tala                              ,-32.333,-59.333,2018,2018,100, 3.5,22.5,79.7,10.2,3500.0, 8.8,240.0, 6
Dpto. Gualeguay                         ,-33.000,-59.583,2018,2018,99,23.2,21.9,79.7,10.1,4000.0, 2.0,224.5, 6
Dpto. Gualeguaychú                      ,-33.250,-59.000,2018,2018,98,10.4,21.1,78.7,10.0,3600.0, 3.2,231.0, 6
Dpto. Nogoyá                            ,-32.167,-59.833,2018,2018,99,13.5,21.3,79.7,10.0,3500.0, 4.9,226.3, 6
Dpto. Uruguay                           ,-32.583,-58.583,2018,2018,97,14.3,21.1,79.3, 9.9,3500.0, 8.0,234.0, 5
Dpto. Victoria                          ,-32.667,-60.333,2018,2018,100,21.9,23.9,79.3,10.5,3800.0, 6.3,251.0, 6
Dpto. San Salvador                      ,-31.618,-58.505,2018,2018,100,17.8,22.4,80.5,10.4,3200.0, 3.9,223.0, 7
Part. Balcarce                          ,-37.750,-58.250,2018,2018,100, 9.1,26.1,77.0,10.9,4400.0, 0.8,221.3, 6
Part. Necochea                          ,-38.250,-59.250,2018,2018,99,10.2,24.8,76.8,10.6,4192.6, 0.1,214.5, 6
Part. Lobería                           ,-38.083,-58.750,2018,2018,100, 9.8,25.7,77.1,10.8,4500.5, 0.8,231.0, 6
Part. Gral. Alvarado                    ,-38.167,-58.083,2018,2018,99,14.4,25.7,77.1,10.5,4600.0, 0.0,222.0, 6
Part. Gral. Madariaga                   ,-37.250,-57.250,2018,2018,99,12.7,25.0,77.6,10.5,5400.0, 0.3,215.0, 6
Part. Gral. Pueyrredón                  ,-38.000,-57.750,2018,2018,99,10.7,23.1,77.3,10.6,5000.0, 0.0,208.0, 6
Part. Rauch                             ,-36.583,-58.833,2018,2018,102,11.4,28.0,76.3,12.0,4000.0, 0.6,210.0, 8
Part. Gral. La Madrid                   ,-37.500,-61.250,2018,2018,103,12.2,27.0,80.1,11.9,2696.1, 0.4,280.7, 8
Part. Adolfo Gonzáles Chaves            ,-38.000,-60.250,2018,2018,99,12.1,21.0,77.3,10.6,4200.6, 2.1,245.3, 6
Part. Laprida                           ,-37.500,-60.750,2018,2018,100,13.3,20.6,79.9,10.2,4100.0, 1.2,224.0, 6
Part. San Cayetano                      ,-38.417,-59.667,2018,2018,101, 6.5,22.3,79.7,10.9,4194.7, 6.5,269.5, 7
Part. Tandil                            ,-37.333,-59.250,2018,2018,103,11.7,26.8,77.2,12.4,4300.4, 1.5,249.0, 8
Part. Tres Arroyos                      ,-38.500,-60.250,2018,2018,102,10.7,26.8,80.1,11.3,4197.3, 2.3,246.6, 7
Dpto. Río Primero                       ,-31.083,-63.500,2018,2018,103,14.3,28.0,77.6,12.1,2500.0, 0.4,317.5, 8
Dpto. Gral. San Martín                  ,-32.500,-63.333,2018,2018,102,12.8,30.5,77.2,12.1,2800.0, 0.5,331.2, 8
Dpto. Tercero Arriba                    ,-32.333,-63.750,2018,2018,105,18.4,31.6,78.2,13.3,2200.0, 0.2,342.7, 9
Dpto. Río Segundo                       ,-31.750,-63.500,2018,2018,102,13.5,27.9,78.9,12.0,2600.0, 0.5,345.6, 8
Dpto. San Javier                        ,-32.083,-65.167,2018,2018,103,14.6,30.3,80.8,11.9,3800.0, 0.7,352.0, 8
Dpto. Juan Martín de Pueyrredón         ,-33.300,-66.333,2018,2018,104, 9.3,34.1,77.7,13.2,1300.0, 0.0,320.0, 9
Dpto. Río Cuarto                        ,-33.333,-64.500,2018,2018,103,10.1,29.9,79.9,12.0,2000.0, 0.1,308.7, 8
Dpto. Juárez Celman                     ,-33.333,-63.667,2018,2018,104, 9.4,33.3,78.9,12.6,2200.0, 0.0,343.3, 8
Dpto. Atreucó                           ,-37.000,-63.750,2018,2018,104,17.7,29.1,81.2,12.2,2500.0, 0.8,316.0, 8
Dpto. Capital                           ,-36.500,-64.250,2018,2018,103,19.0,27.0,81.8,11.7,2200.0, 0.5,292.5, 8
Dpto. Conhelo                           ,-36.000,-64.500,2018,2018,105,21.6,30.4,79.4,13.0,3000.0, 0.9,331.5, 9
Dpto. Chapaleufú                        ,-35.167,-63.750,2018,2018,105,22.4,32.0,80.2,12.9,3400.0, 3.8,307.0, 9
Dpto. Guatraché                         ,-37.500,-63.750,2018,2018,101,17.7,25.0,81.9,10.7,2000.0, 3.9,253.7, 7
Dpto. Hucal                             ,-38.000,-64.000,2018,2018,103,23.4,30.9,81.1,11.7,1900.0, 0.6,271.5, 8
Dpto. Quemú-Quemú                       ,-36.250,-63.750,2018,2018,104,16.1,27.8,79.0,12.2,3200.0, 1.4,292.0, 8
Dpto. Rancul                            ,-35.500,-64.750,2018,2018,104,16.2,31.0,79.8,12.3,3000.0, 1.6,293.5, 9
Dpto. Realicó                           ,-35.250,-64.250,2018,2018,105,16.7,33.0,80.6,12.9,2000.0, 0.3,294.0, 9
Dpto. Toay                              ,-36.583,-64.800,2018,2018,102,15.3,27.9,81.7,11.2,1800.0, 0.4,270.0, 7
Dpto. Trenel                            ,-35.667,-64.250,2018,2018,106,15.2,32.5,79.9,13.3,2200.0, 0.4,300.0,10
