Dpto Label,Latitud,Longitud,Año_max,Año_min,BON_media,ESTAB_media,GH_media,PH_media,PROT_media,RTO_media,P.BLANCA_media,W_media,Grupo
Dpto. Gral. Obligado                    ,-28.750,-59.750,2018,2017,102,15.6,24.0,81.6,11.1,2050.0,11.9,253.0, 7
Dpto. 9 de Julio                        ,-28.833,-61.333,2018,2017,100,11.4,25.3,80.6,10.6,2933.3, 5.5,246.0, 7
Dpto. San Javier                        ,-32.083,-65.167,2018,2017,103,11.8,28.4,81.0,11.7,3800.0, 3.1,271.3, 8
Dpto. Vera                              ,-29.000,-60.500,2018,2017,102,11.9,28.3,81.2,11.5,2100.0, 1.8,273.0, 8
Dpto. Castellanos                       ,-31.167,-61.667,2018,2017,101,12.1,27.2,79.5,11.0,2940.0, 7.5,251.1, 7
Dpto. La Capital                        ,-31.500,-60.667,2018,2017,100,15.2,25.8,81.7,10.5,2750.0, 4.8,221.0, 7
Dpto. Las Colonias                      ,-31.500,-61.133,2018,2017,100, 9.4,25.1,81.8,10.4,3000.0, 8.4,261.8, 7
Dpto. San Cristóbal                     ,-30.333,-61.333,2018,2017,103,20.2,27.7,81.6,11.5,2650.0, 2.0,316.5, 8
Dpto. San Justo                         ,-30.667,-60.500,2018,2017,101,13.1,26.0,79.8,11.1,2776.9, 2.0,245.2, 7
Dpto. San Martín                        ,-32.000,-61.833,2018,2017,99, 3.1,24.2,78.5,10.3,3100.0, 5.4,243.8, 6
Dpto. San Jerónimo                      ,-32.167,-61.083,2018,2017,99, 4.4,24.6,78.7,10.5,3188.9, 2.7,221.8, 6
Dpto. Iriondo                           ,-32.633,-61.333,2018,2017,99, 6.2,23.9,78.5,10.4,3366.7, 7.3,233.1, 6
Dpto. Belgrano                          ,-32.500,-61.750,2018,2017,100, 7.1,25.3,77.7,11.0,3350.0, 5.3,252.8, 6
Dpto. Caseros                           ,-33.250,-61.667,2018,2017,99,12.0,24.3,78.5,10.8,3600.0, 4.5,270.0, 6
Dpto. San Lorenzo                       ,-33.000,-61.000,2018,2017,99, 5.3,23.8,79.5,10.6,3550.0, 3.5,271.2, 6
Dpto. Rosario                           ,-33.167,-60.750,2018,2017,100,20.4,24.7,79.0,11.1,3400.0, 5.6,267.2, 7
Dpto. Constitución                      ,-33.500,-60.917,2018,2017,97,12.5,21.9,79.6,10.2,3550.0,13.6,241.1, 5
Dpto. Gral. López                       ,-33.833,-61.833,2018,2017,101,11.9,25.2,81.1,10.9,4241.7, 5.7,267.3, 7
Dpto. Marcos Juárez                     ,-33.000,-62.250,2018,2017,99, 6.1,23.7,78.6,10.8,3913.3, 8.4,253.3, 6
Dpto. Unión                             ,-32.833,-62.750,2018,2017,99, 8.1,23.0,79.0,10.7,3744.4, 9.1,260.3, 6
Part. Ramallo                           ,-33.500,-60.083,2018,2017,97, 1.9,20.1,80.5, 9.5,4450.0,14.1,239.5, 5
Part. Colón                             ,-33.833,-61.000,2018,2017,100,10.9,23.8,79.6,10.7,4685.7, 1.3,258.9, 7
Part. Pergamino                         ,-33.750,-60.583,2018,2017,99, 8.4,23.4,80.0,10.3,4840.0, 9.0,249.0, 6
Part. Chacabuco                         ,-34.667,-60.333,2018,2017,101,11.7,23.0,83.7,10.8,4800.0, 3.0,328.0, 7
Part. Rojas                             ,-34.250,-60.750,2018,2017,101, 8.6,25.3,83.1,10.7,5133.3, 3.2,230.3, 7
Part. Carmen de Areco                   ,-34.333,-59.833,2018,2017,96, 2.9,18.7,82.0, 9.1,4500.1, 8.0,173.0, 4
Part. Gral. Arenales                    ,-34.250,-61.250,2018,2017,100,10.9,24.5,81.5,10.2,4500.0, 6.9,233.0, 6
Part. Junín                             ,-34.500,-61.000,2018,2017,97, 6.3,22.0,83.2, 9.5,5200.0, 5.7,199.0, 5
Part. Alberti                           ,-35.000,-60.333,2018,2017,101,10.8,25.5,81.8,10.8,4666.7, 1.8,232.0, 7
Part. Bragado                           ,-35.000,-60.667,2018,2017,100,11.9,24.9,79.7,10.9,4400.0, 2.4,250.2, 7
Part. Chivilcoy                         ,-34.917,-59.917,2018,2017,100,12.2,25.4,79.8,10.8,4000.0, 2.0,232.6, 7
Part. Mercedes                          ,-34.667,-59.417,2018,2017,96, 5.3,19.8,82.9, 9.3,4000.0, 6.4,217.0, 5
Part. Suipacha                          ,-34.750,-59.750,2018,2017,96,23.6,24.2,82.9, 9.3,4000.0, 5.1,262.0, 5
Part. Baradero                          ,-33.833,-59.500,2018,2017,97, 4.2,16.8,82.6, 9.5,4300.0, 4.6,154.0, 5
Part. Salto                             ,-34.250,-60.250,2018,2017,96, 5.3,19.8,81.7, 9.0,4600.0, 6.1,207.0, 4
Part. Arrecifes                         ,-34.061,-60.104,2018,2017,90, 4.8,23.9,80.8, 8.0,4300.0, 8.6,223.0, 1
Part. San Nicolás                       ,-33.500,-60.333,2018,2017,100, 3.8,20.1,83.7,10.3,4400.0, 0.9,210.0, 7
Part. Capitán Sarmiento                 ,-34.167,-59.833,2018,2017,96, 4.9,21.4,82.2, 9.1,4500.0, 6.0,224.0, 4
Part. Las Flores                        ,-36.083,-59.083,2018,2017,97,10.2,26.4,83.1, 9.5,3700.0, 4.0,254.0, 5
Part. Gral. Belgrano                    ,-35.750,-58.750,2018,2017,102, 3.8,23.2,83.7,11.4,3600.0, 0.3,208.0, 8
Part. 25 de Mayo                        ,-35.500,-60.250,2018,2017,102,11.6,27.0,80.5,11.6,3825.0, 1.5,227.0, 7
Dpto. Paraná                            ,-31.667,-60.000,2018,2017,99,12.7,21.9,80.4,10.1,3400.0, 3.0,229.0, 6
Dpto. Federal                           ,-30.956,-58.780,2018,2017,100,12.9,24.5,80.8,10.5,3100.0, 3.7,215.5, 7
Dpto. Villaguay                         ,-31.583,-59.000,2018,2017,100,14.2,22.9,80.5,10.1,2800.0, 5.5,232.0, 6
Dpto. Diamante                          ,-32.167,-60.417,2018,2017,100,10.4,23.3,80.7,10.2,3350.0, 5.7,202.0, 6
Dpto. Concordia                         ,-31.083,-58.667,2018,2017,99, 6.1,23.0,79.6,10.1,2950.0, 7.8,222.0, 6
Dpto. La Paz                            ,-30.833,-59.417,2018,2017,100,14.6,24.5,80.9,10.2,3200.0, 3.8,236.0, 6
Dpto. Tala                              ,-32.333,-59.333,2018,2017,100,10.2,23.8,79.9,10.3,2875.0, 6.2,215.5, 7
Dpto. Gualeguay                         ,-33.000,-59.583,2018,2017,100,16.6,23.3,79.7,10.2,3450.0, 3.0,204.5, 6
Dpto. Gualeguaychú                      ,-33.250,-59.000,2018,2017,99,15.0,23.0,78.9,10.2,2975.0, 3.8,229.2, 6
Dpto. Nogoyá                            ,-32.167,-59.833,2018,2017,100,12.2,23.0,79.7,10.3,3160.0, 3.7,225.4, 6
Dpto. Uruguay                           ,-32.583,-58.583,2018,2017,99,16.1,23.6,79.2,10.3,3000.0, 5.5,229.3, 6
Dpto. Victoria                          ,-32.667,-60.333,2018,2017,100,17.2,24.4,79.3,10.4,3325.0, 5.2,212.5, 6
Dpto. San Salvador                      ,-31.618,-58.505,2018,2017,100,15.2,24.2,79.5,10.6,2650.0, 4.0,210.0, 6
Part. Lobería                           ,-38.083,-58.750,2018,2017,100,10.8,25.3,78.2,10.7,4500.4, 1.0,234.6, 6
Part. Balcarce                          ,-37.750,-58.250,2018,2017,100, 9.3,25.3,78.7,10.6,4400.0, 1.1,215.0, 6
Part. Azul                              ,-36.750,-59.667,2018,2017,101, 6.4,24.6,82.6,10.5,4200.0, 0.5,271.0, 7
